SKU,Product Name,4
XRNB95BS,9.5mm Blue Sapphire Indian Bead Ring',P
XRNB8PS,8mm Pink Sapphire Indian Bead Ring',P
XRNB8D,8mm Diamond Indian Bead Ring',P
XRNB8BS,8mm Blue Sapphire Indian Bead Ring',P
XRNB3D8DPS,8mm Diamond Indian Bead Ring Diamond Pink Sapphire Dangles',P
XRNB3BD8PS,8mm Pink Sapphire Indian Bead Ring Briolette Ball Dangles',P
XRNB3BD8BS,8mm Blue Sapphire Indian Bead Ring Briolette Ball Dangles',P
XRHFB95CZ,9.5mm Fixed Horizontal Cubic Zirconia Ring',
XRHFB8CZ,8mm Fixed Horizontal Cubic Zirconia Ring',
XRHFB65CZ,6.5mm Fixed Horizontal Cubic Zirconia Ring',
XRFB95TQ,9.5mm Vertical Turquoise Fixed Bead Ring',
XRFB95CZ,9.5mm Fixed Cubic Zirconia Ring',
XRFB95,20ga 9.5mm Fixed Ball Ring',
XRFB8TQ,8mm Vertical Turquoise Fixed Bead Ring',
XRFB8CZ,8mm Fixed Cubic Zirconia Ring',
XRFB8,20ga 8mm Fixed Ball Ring',
XRFB65TQ,6.5mm Turquoise Fixed Bead Ring',
XRFB65CZ,6.5mm Fixed Cubic Zirconia Ring',
XRFB65,20ga 6.5mm Fixed Ball Ring',
XRFB5CZ,5mm Fixed Cubic Zirconia Ring',
XRFB5,20ga 5mm Fixed Ball Ring',
XRFB1895,18g 9.5mm Fixed Ball Ring',
XRFB188,18g 8mm Fixed Ball Ring',
XRFB1865,18 ga 6.5mm Fixed Ball Ring',
XRFB185,18g 5mm Fixed Ball Ring',
XRFB1695,16g 9.5mm Fixed Ball Ring',
XRFB168,16g 8mm Fixed Ball Ring',
XRCOBOP95DRB,9.5mm Cobra Clicker with Opal Head and Ruby Eyes',P
XRCOBOP95BKD,9.5mm Opal Cobra Ring with Black Diamond Eyes',P
XRCOBOP8DRB,8mm Cobra Clicker with Opal Head and Ruby Eyes',P
XRCOBOP8DBKD,8mm Cobra Clicker with Opal Head and Black Diamond Eyes',P
XRCOBD95RB,9.5mm Cobra Clicker with Diamond Head and Ruby Eyes',P
XRCOBD95BKD,9.5mm Cobra Ring with Black Diamond Eyes',P
XRCOBD8RB,8mm Cobra Clicker with Ruby Eyes',P
XRCOBD8BKD,8mm Cobra Ring with Black Diamond Eyes',P
XRCOBD65D,6.5mm Diamond Cobra Clicker',P
XRCOBD65BKD,6.5mm Cobra Ring with Black Diamond Eyes',P
XR95,9.5mm Plain Ring',P
XR8,8mm Plain Ring',P
XR65,6.5mm Plain Ring',P
XR5,5mm Plain Ring',P
XR3SPL95TQ,9.5mm Triple Long Turquoise Spike Clicker',P
XR3SPL95OP,9.5mm Triple Long Opal Spike Clicker',P
XR3SPL95BROP,9.5mm Triple Long Black-Red Opal Spike Clicker',P
XR3SPL95BKOP,9.5mm Triple Long Black Opal Spike Clicker',P
XR3SPL95,9.5mm Triple Long Spike Clicker',P
XR3SPL8TQ,8mm Triple Long Turquoise Spike Clicker',P
XR3SPL8OP,8mm Triple Long Opal Spike Clicker',P
XR3SPL8BROP,8mm Triple Long Black-Red Opal Spike Clicker',P
XR3SPL8BKOP,8mm Triple Long Black Opal Spike Clicker',P
XR3SPL8,8mm Triple Long Spike Clicker',P
XR3SPL65TQ,6.5mm Triple Long Turquoise Spike Clicker',P
XR3SPL65OP,6.5mm Triple Long Opal Spike Clicker',P
XR3SPL65BROP,6.5mm Triple Long Black-Red Opal Spike Clicker',P
XR3SPL65BKOP,6.5mm Triple Long Black Opal Spike Clicker',P
XR3SPL65,6.5mm Triple Long Spike Clicker',P
XR3SPGR8,8mm Triple Short Spike Granulated Clicker',P
XR3SPG95TQ,9.5mm Triple Short Turquoise Spike Granulated Clicker',P
XR3SPG95OP,9.5mm Triple Short Opal Spike Granulated Clicker',P
XR3SPG95BKOP,9.5mm Triple Short Black Opal Spike Granulated Clicker',P
XR3SPG95,9.5mm Triple Short Spike Granulated Clicker',P
XR3SPG8TQ,8mm Triple Short Turquoise Spike Granulated Clicker',P
XR3SPG8OP,8mm Triple Short Opal Spike Granulated Clicker',P
XR3SPG8BROP,8mm Triple Short Black-Red Opal Spike Granulated Clicker',P
XR3SPG8BKOP,8mm Triple Short Black Opal Spike Granulated Clicker',P
XR3SPG65TQ,6.5mm Triple Short Turquoise Spike Granulated Clicker',P
XR3SPG65OP,6.5mm Triple Short Opal Spike Granulated Clicker',P
XR3SPG65BKOP,6.5mm Triple Short Black Opal Spike Granulated Clicker',P
XR3SPG65,6.5mm Triple Short Spike Granulated Clicker',P
XR3SP95TQ,9.5mm Triple Short Turquoise Spike Clicker',P
XR3SP95OP,9.5mm Triple Short Opal Spike Clicker',P
XR3SP95BKOP,9.5mm Triple Short Black Opal Spike Clicker',P
XR3SP95,9.5mm Triple Short Spike Clicker',P
XR3SP8TQ,8mm Triple Short Turquoise Spike Clicker',P
XR3SP8OP,8mm Triple Short Opal Spike Clicker',P
XR3SP8BKOP,8mm Triple Short Black Opal Spike Clicker',P
XR3SP8,8mm Triple Short Spike Clicker',P
XR3SP65TQ,6.5mm Triple Short Turquoise Spike Clicker',P
XR3SP65OP,6.5mm Triple Short Opal Spike Clicker',P
XR3SP65BKOP,6.5mm Triple Short Black Opal Spike Clicker',P
XR3SP65,6.5mm Triple Short Spike Clicker',P
XR2C8,8mm Plain Ring with 2 Chains',P
XR2C65,6.5mm Plain Ring with 2 Chains',P
XR1SP95,9.5mm Single Spike Ring',P
XR1SP8TQ,8mm Single Short Turquoise Spike Clicker',P
XR1SP8OP,8mm Single Short Opal Spike Clicker',P
XR1SP8BROP,8mm Single Short Black-Red Opal Spike Clicker',P
XR1SP8BKOP,8mm Single Short Black Opal Spike Clicker',P
XR1SP8,8mm Single Short Spike Clicker',P
XR1SP65TQ,6.5mm Single Short Turquoise Spike Clicker',P
XR1SP65OP,6.5mm Single Short Opal Spike Clicker',P
XR1SP65BROP,6.5mm Single Short Black-Red Opal Spike Clicker',P
XR1SP65BKOP,6.5mm Single Short Black Opal Spike Clicker',P
XR1SP65,6.5mm Single Short Spike Clicker',P
XR1SP5,5mm Single Spike Clicker',P
XR1695T,16g 9.5mm Titanium Ring',
XR1695,16g 9.5mm Plain Clicker',P
XR168T,16g 8mm Titanium Ring',
XR168,16g 8mm Plain Clicker',P
XR1665,16g 6.5mm Plain Clicker',P
XR165,16g 5mm Plain Clicker',
XR16125,16g 12.5mm Plain Ring',P
XR1611,16g 11mm Plain Ring',P
XR1495T,14g 9.5mm Titanium Ring',
XR1495,14g 9.5mm Plain Clicker',P
XR148T,14g 8mm Titanium Ring',
XR148,14g 8mm Plain Clicker',P
XR1465,14g 6.5mm Plain Clicker',P
XR145,14g 5mm Plain Clicker',
XR1411,14g 11mm Plain Ring',P
XR128T,12g 8mm Titanium Ring',
XR125,12.5mm Plain Ring',P
XR11,11mm Plain Ring',P
XPK875M,8mm Padlock Clicker',P
XPK6565M,6.5mm Padlock Clicker',P
XPK565M,5mm Padlock Clicker',P
XPEAR,Plain Pear Shaped Tash Threaded Stud',P
XPE725D,7x5mm Pear Diamond Threaded Stud 2.5mm Diamond Back',P
XPE6MQ4D,6x4mm Pear Diamond Threaded Stud 4mm Marquise Diamond Back',P
XPE625D,6x4mm Pear Diamond Threaded Stud 2.5mm Diamond Back',P
XPAISRD,Diamond Paisley (Right) Threaded Stud',P
XPAISLD,Diamond Paisley (Left) Threaded Stud',P
XPACD,Diamond Micropave Open Circle Threaded Stud',P
XP3CZ,3mm Prong Set Cubic Zirconia Threaded Stud',P
XP2CZ,2mm Prong Set Cubic Zirconia Threaded Stud',P
XMTTDPS,Pink Sapphire and Diamond MT Tiara Threaded Stud',P
XMTTDOPSC2D,Opal Diamond Tiara with Dangle and 1 Chain Earstud',P
XMTTDOP,Diamond and Opal MT Tiara Threaded Stud',P
XMTTD,Diamond MT Tiara Threaded Stud',P
XMQ825D,8mm Marquise Diamond Threaded Stud',P
XMQ725D,7mm Marquise Diamond Threaded Stud',P
XMQ625D,6mm by 3mm Marquise Diamond Threaded Stud',P
XMNSPAD,Small Diamond Moon Threaded Stud',P
XMNPAD,Diamond Moon Threaded Stud',P
XMMTD,Diamond Mini MT Crown Tash Threaded Stud',P
XLOTEGD625D,6mm Diamond Engraved Lotus with Dangle Threaded Stud',P
XLOTEG615D,6mm Diamond Engraved Lotus Threaded Stud',P
XLOTEG42D,4mm Diamond Engraved Lotus Threaded Stud',P
XLOTEG315D,3mm Diamond Engraved Lotus Threaded Stud',P
XLOTD625D,6mm Invisible Diamond Lotus with Dangle Threaded Stud',P
XLOT615D,6mm Invisible Diamond Lotus Threaded Stud',P
XLB11D,11mm Diamond Lightning Bolt Threaded Stud',P
XLB11BKD,11mm Black Diamond Lightning Bolt Threaded Stud',P
XIVFL85D,8.5mm Invisible Set Diamond Flower Threaded Stud',P
XIVFL6D,6mm Invisible Set Diamond Flower Threaded Stud',P
XIVD32D,3mm-2mm Invisible Set Diamond Dangle Threaded Stud',P
XIVD215D,2mm-1.5mm Invisible Set Diamond Dangle Threaded Stud',P
XIVD1C32D,3mm-2mm Invisible Diamond Dangle Chain Wrap Earstud',P
XIV5DSC25D,5.2mm Invisible Diamond Threaded Stud with 2.5mm Diamond Back',P
XIV5D,5.2mm Invisible Set Diamond Threaded Stud',P
XIV4DSC2D,4.1mm Invisible Diamond Threaded Stud with 2mm Diamond Back',P
XIV4D,4.1mm Invisible Set Diamond Threaded Stud',P
XIV47DSC25D,4.7mm Invisible Diamond Threaded Stud with 2.5mm Diamond Back',P
XIV47D,4.7mm Invisible Set Diamond Threaded Stud',P
XIV3PKD,3mm Invisible Pink Diamond Threaded Stud',P
XIV3D,3mm Invisible Set Diamond Threaded Stud',P
XIV3BD,3mm Invisible Set Blue Diamond Threaded Stud',P
XIV38DSC2D,3.8mm Invisible Set Diamond with 2mm Dangle Threaded Stud',P
XIV38D,3.8mm Invisible Set Diamond Threaded Stud',P
XIV35D,3.5mm Invisible Set Diamond Threaded Stud',P
XIV2PKD,2mm Invisible Set Pink Diamond Threaded Stud',P
XIV2PD,2mm Invisible Set Purple Diamond Threaded Stud',P
XIV2D,2mm Invisible Set Diamond Threaded Stud',P
XIV25PD,2.5mm Invisible Set Purple Diamond Threaded Stud',P
XIV25D,2.5mm Invisible Set Diamond Threaded Stud',P
XIV25BD,2.5mm Invisible Set Blue Diamond Threaded Stud',P
XIV15D,1.5mm Invisible Set Diamond Threaded Stud',P
XIV15BD,1.5mm Invisible Set Blue Diamond Threaded Stud',P
XHN95,16g 9.5mm Hiranya Clicker',
XHN8,16g 8mm Hiranya Clicker',
XHN65,16g 6.5mm Hiranya Clicker',
XHN168T,16g 8mm Titanium Hiranya Clicker',
XHN1495,14g 9.5mm Hiranya Clicker',
XHN148,14g 8mm Hiranya Clicker',
XHEART,Heart Threaded Stud',P
XHCNDFLDPEPS,Pearl Coronet Hoops Diamond Flower Pink Sapphire Briolettes',P
XHC8,8mm Single Handcuff Clicker Ring',P
XHC65D,6.5mm Diamond Handcuff Clicker Ring',P
XHC65,6.5mm Single Handcuff Clicker Ring',P
XG5OP,5 Opal Garland Threaded Stud',P
XG3TQ,2.75mm Turquoise Starburst Threaded Stud',P
XG3RB,2.75mm Ruby Starburst Threaded Stud',P
XG3PS,2.75mm Pink Sapphire Starburst Threaded Stud',P
XG3OP,2.75mm Opal Starburst Threaded Stud',P
XG3CZ,2.75mm Cubic Zirconia Starburst Threaded Stud',P
XG3BS,2.75mm Blue Sapphire Starburst Threaded Stud',P
XFLR55D3CBAD,5.5mm Diamond Flower Threaded Stud Pear 3 Chains Baguette',P
XFLPED,Pear-Cut Diamond Flower Threaded Stud',P
XFLP8OP,8mm Opal and Diamond Pansy Threaded Stud',P
XFLP8BKD,8mm Black Diamond Pansy Threaded Stud',P
XFLP55OP,5.5mm Opal and Diamond Pansy Threaded Stud',P
XFLDM65OP,6.5mm Opal Flower Threaded Stud',P
XFLD75OP,7.5mm Opal Flower with Diamond Center Threaded Stud',P
XFLD65OP,6.5mm Opal Flower with Diamond Center Threaded Stud',P
XFLD5OP,5mm Opal Flower with Diamond Center Threaded Stud',P
XFLD55D,5.5mm Diamond Flower with Dangle Threaded Stud',P
XFLD45D1CH,4.5mm Diamond Flower Traditional Stud 1.5mm Dangle Chain Wrap',P
XFLD45D,4.5mm Diamond Flower and Dangle Threaded Stud',P
XFL7PKD,7mm Pink Diamond Flower Threaded Stud',P
XFL7PD,7mm Purple Diamond Flower Threaded Stud',P
XFL7DPE,7mm Pearl Flower with Diamond Center Threaded Stud',P
XFL7D,7mm Diamond Flower Threaded Stud',P
XFL7BD,7mm Blue Diamond Flower Threaded Stud',P
XFL55PKD,5.5mm Pink Diamond Flower Threaded Stud',P
XFL55PD,5.5mm Purple Diamond Flower Threaded Stud',P
XFL55D,5.5mm Diamond Flower Threaded Stud',P
XFL55CZ,5.5mm Cubic Zirconia Flower Threaded Stud',P
XFL55BKD,5.5mm Black Diamond Flower Threaded Stud',P
XFL55BD,5.5mm Blue Diamond Flower Threaded Stud',P
XFL45PKD,4.5mm Pink Diamond Flower Threaded Stud',P
XFL45PD,4.5mm Purple Diamond Flower Threaded Stud',P
XFL45D,4.5mm Diamond Flower Threaded Stud',P
XFL45CZ,4.5mm Cubic Zirconia Flower Threaded Stud',P
XFL45BKD,4.5mm Black Diamond Flower Threaded Stud',P
XFL45BD,4.5mm Blue Diamond Flower Threaded Stud',P
XFL3D,3mm Diamond Flower Threaded Stud',P
XETTS95D,9.5mm Diamond Tassel Eternity Ring',P
XETTS8D,8mm Diamond Tassel Eternity Ring',P
XETTS8,8mm Gold Tassel Eternity Ring',P
XETTS65D,6.5mm Diamond Tassel Eternity Ring',P
XETTS65,6.5mm Gold Tassel Eternity Ring',P
XETSTAR8D38,8mm Diamond Constellation Eternity Ring',P
XETST9545D,9.5mm Diamond Star Eternity Clicker',P
XETST845D,8mm Diamond Star Eternity Ring',P
XETST6545D,6.5mm Diamond Star Eternity Ring',P
XETMQSC95OP,9.5mm Opal Marquise Scalloped Eternity Ring',P
XETMQSC95D,9.5mm Diamond Marquise Scalloped Eternity Ring',P
XETMQSC8OP,8mm Opal Marquise Scalloped Eternity Ring',P
XETMQSC8D,8mm Diamond Marquise Scalloped Eternity Ring',P
XETMQSC65OP,6.5mm Opal Marquise Scalloped Eternity Ring',P
XETMQSC65D,6.5mm Diamond Marquise Scalloped Eternity Ring',P
XETMQSC11OP,11mm Opal Marquise Scalloped Eternity Ring',P
XETMQIV95D,9.5mm Invisible Set Diamond Marquise Eternity Ring',P
XETMQIV8D,8mm Invisible Set Diamond Marquise Eternity Ring',P
XETMQIV65D,6.5mm Invisible Set Diamond Marquise Eternity Ring',P
XETMQIV11D,11mm Invisible Marquise Diamond Eternity Ring',P
XETIVBA95D,9.5mm Invisible Baguette Diamond Eternity Clicker',P
XETIVBA8D,8mm Invisible Baguette Diamond Eternity Clicker',P
XETIVBA65D,6.5mm Invisible Baguette Diamond Eternity Clicker',P
XETIV95D,9.5mm Invisible Set Diamond Eternity Ring',P
XETIV9524D,9.5mm Invisible Set Large Diamond Eternity Ring',P
XETIV8D,8mm Invisible Set Diamond Eternity Ring',P
XETIV8BD,8mm Blue Diamond Invisible Set Eternity Clicker',P
XETIV824D,8mm Invisible Set Large Diamond Eternity Ring',P
XETIV65D,6.5mm Diamond Invisible Set Eternity Ring',P
XETIV65BD,6.5mm Blue Diamond Invisible Set Eternity Clicker',P
XETIV6524D,6.5mm Invisible Set Large Diamond Eternity Ring',P
XETIV5D,5mm Invisible Set Diamond Eternity Ring',P
XETIV5BD,5mm Blue Diamond Invisible Set Eternity Clicker',P
XETIV524D,5mm Invisible Eternity with 2.4mm Diamonds',P
XETH1695TQ,16g 9.5mm Turquoise Horizontal Eternity Clicker',
XETH1695PE,16g 9.5mm Pearl Horizontal Eternity Clicker',
XETH1695OP,16g 9.5mm Opal Horizontal Eternity Clicker',
XETH1695D,16g 9.5mm Diamond Horizontal Eternity Clicker',
XETH1695CZ,16g 9.5mm Cubic Zirconia Horizontal Eternity Clicker',
XETH168TQ,16g 8mm Turquoise Horizontal Eternity Clicker',
XETH168PE,16g 8mm Pearl Horizontal Eternity Clicker',
XETH168OPT,16g 8mm Opal Titanium Horizontal Eternity Clicker',
XETH168OP,16g 8mm Opal Horizontal Eternity Clicker',
XETH168D,16g 8mm Diamond Horizontal Eternity Clicker',
XETH168CZT,16g 8mm Cubic Zirconia Titanium Horizontal Eternity Clicker',
XETH168CZ,16g 8mm Cubic Zirconia Horizontal Eternity Clicker',
XETH168BKCZT,16g 8mm Black Cubic Zirconia Titanium Horizontal Eternity Ring',
XETH168BKCZ,16g 8mm Black Cubic Zirconia Horizontal Eternity Clicker',
XETH1665TQ,16g 6.5mm Turquoise Horizontal Eternity Clicker',
XETH1665PE,16g 6.5mm Pearl Horizontal Eternity Clicker',
XETH1665OP,16g 6.5mm Opal Horizontal Eternity Clicker',
XETH1665CZ,16g 6.5mm Cubic Zirconia Horizontal Eternity Clicker',
XETH1611CZ,16g 11mm Cubic Zirconia Horizontal Eternity Clicker',
XETH1495TQ,14g 9.5mm Turquoise Horizontal Eternity Clicker',
XETH1495PE,14g 9.5mm Pearl Horizontal Eternity Clicker',
XETH1495OP,14g 9.5mm Opal Horizontal Eternity Clicker',
XETH1495CZ,14g 9.5mm Cubic Zirconia Horizontal Eternity Clicker',
XETH148TQ,14g 8mm Turquoise Horizontal Eternity Clicker',
XETH148PE,14g 8mm Pearl Horizontal Eternity Clicker',
XETH148OP,14g 8mm Opal Horizontal Eternity Clicker',
XETH148CZ,14g 8mm Cubic Zirconia Horizontal Eternity Clicker',
XET95TQ,9.5mm Turquoise Eternity Clicker',P
XET95PE,9.5mm Pearl Eternity Clicker',P
XET95OP,9.5mm Opal Eternity Clicker',P
XET95D26,9.5mm Diamond Eternity Ring',P
XET95D,9.5mm Diamond Front-Facing Eternity Ring',P
XET95BKD26,9.5mm Black Diamond Eternity Ring',P
XET8TQ,8mm Turquoise Eternity Clicker',P
XET8PE,8mm Pearl Eternity Clicker',P
XET8OP,8mm Opal Eternity Clicker',P
XET8D22,8mm Diamond Eternity Ring',P
XET8D,8mm Diamond Front-Facing Eternity Ring',P
XET8BKD22,8mm Black Diamond Eternity Ring',P
XET65TQ,6.5mm Turquoise Eternity Clicker',P
XET65PE,6.5mm Pearl Eternity Clicker',P
XET65OP,6.5mm Opal Eternity Clicker',P
XET65D,6.5mm Diamond Eternity Ring',P
XET65BKD,6.5mm Black Diamond Eternity Ring',P
XET5D,5mm Diamond Eternity Ring',P
XET5BKD,5mm Black Diamond Eternity Ring',P
XET3SPL95DTQ,9.5mm Triple Long Turquoise Spike Diamond Eternity Clicker',P
XET3SPL95DOP,9.5mm Triple Long Opal Spike Diamond Eternity Clicker',P
XET3SPL95DBKOP,9.5mm Triple Long Black Opal Spike Diamond Eternity Clicker',P
XET3SPL95D,9.5mm Triple Long Spike Diamond Eternity Clicker',P
XET3SPL8DTQ,8mm Triple Long Turquoise Spike Diamond Eternity Clicker',P
XET3SPL8DOP,8mm Triple Long Opal Spike Diamond Eternity Clicker',P
XET3SPL8DBKOP,8mm Triple Long Black Opal Spike Diamond Eternity Clicker',P
XET3SPL8D,8mm Triple Long Spike Diamond Eternity Clicker',P
XET3SPL65DTQ,6.5mm Triple Long Turquoise Spike Diamond Eternity Clicker',P
XET3SPL65DOP,6.5mm Triple Long Opal Spike Diamond Eternity Clicker',P
XET3SPL65DBKOP,6.5mm Triple Long Black Opal Spike Diamond Eternity Clicker',P
XET3SPL65D,6.5mm Triple Spike Diamond Eternity Clicker',P
XET2D95D,9.5mm Diamond Eternity with 2 Dangles',P
XET2D8D,8mm Diamond Eternity with 2 Dangles',P
XET2D65D,6.5mm Diamond Eternity with 2 Dangles',P
XET2CDBA65D,6.5mm Diamond Eternity with Baguette and 2 Chains',
XET2C2D8D,8mm Diamond Eternity with 2 Rounds and 2 Chains',
XET1SP95TQ,9.5mm Single Short Turquoise Spike Diamond Eternity Clicker',P
XET1SP95OP,9.5mm Single Short Opal Spike Diamond Eternity Clicker',P
XET1SP95BROP,9.5mm Single Short Black-Red Opal Spike Diamond Eternity Clicker',P
XET1SP95BKOP,9.5mm Single Short Black Opal Spike Diamond Eternity Clicker',P
XET1SP95,9.5mm Single Short Spike Diamond Eternity Clicker',P
XET1SP8TQ,8mm Single Short Turquoise Spike Diamond Eternity Clicker',P
XET1SP8OP,8mm Single Short Opal Spike Diamond Eternity Clicker',P
XET1SP8BROP,8mm Single Short Black-Red Spike Diamond Eternity Clicker',P
XET1SP8BKOP,8mm Single Short Black Opal Spike Diamond Eternity Clicker',P
XET1SP8,8mm Single Short Spike Diamond Eternity Clicker',P
XET1SP65TQ,6.5mm Single Short Turquoise Spike Diamond Eternity Clicker',P
XET1SP65OP,6.5mm Single Short Opal Spike Diamond Eternity Clicker',P
XET1SP65BROP,6.5mm Single Short Black-Red Opal Spike Diamond Eternity Clicker',P
XET1SP65BKOP,6.5mm Single Short Black Opal Spike Diamond Eternity Clicker',P
XET1SP65,6.5mm Single Short Spike Diamond Eternity Clicker',P
XET155D,15.5mm Diamond Eternity Ring',P
XET125D,12.5mm Diamond Eternity Ring',P
XET125BKD,12.5mm Black Diamond Eternity Ring',P
XET11D,11mm Diamond Eternity Ring',P
XET11BKD,11mm Black Diamond Eternity Ring',P
XDSLB22DOPRB,Opal and Diamond Long Sword with Ruby Drops Threaded Combination',P
XDSLB22DBKDRB,Black and White Diamond Long Sword with Ruby Drops Threaded Stud',P
XDSL22DOP,Opal and Diamond Long Sword Threaded Combination',P
XDSL22DBS,Blue Sapphire and Diamond Long Sword Threaded Combination',P
XDS5DOP,Opal and Diamond Small Sword Threaded Stud',P
XDS5D,Diamond Small Sword Threaded Stud',P
XDH95D,9.5mm Diamond Dhara Clicker',
XDH95CZ,9.5mm Cubic Zirconia Dhara Clicker',
XDH8D,8mm Diamond Dhara Clicker',
XDH8CZ,8mm Cubic Zirconia Dhara Clicker',
XDH65CZ,6.5mm Cubic Zirconia Dhara Clicker',
XDH1495CZ,9.5mm 14 gauge Cubic Zirconia Dhara Clicker',
XDH148CZ,8mm 14 gauge Cubic Zirconia Dhara Clicker',
XDGTR65RB,Diamond and Ruby Trinity Hilt Dagger Threaded Stud',P
XDGTR65OP,Diamond and Opal Trinity Hilt Dagger Threaded Stud',P
XDGTR65D,Diamond Trinity Hilt Dagger Threaded Stud',P
XDGTR65BKD,Black and White Diamond Trinity Hilt Dagger Threaded Stud',P
XDG65DOP,Opal and Diamond Dagger Threaded Stud',
