2019-01-05 13:05:52,TW-69109,1960
2019-01-05 13:21:45,TW-69111,6975
2019-01-05 13:28:05,TW-69119,5440
2019-01-05 13:46:58,TW-69116,415
2019-01-05 13:49:27,TW-69115,5590
2019-01-05 10:15:13,TW-69125,308.798
2019-01-05 14:32:48,TW-69123,3105
2019-01-05 10:41:15,TW-69124,575.70688
2019-01-05 10:58:16,TW-69131,429.632
2019-01-05 11:15:41,TW-69133,40.278
2019-01-05 12:19:34,TW-69135,182.051
2019-01-05 09:40:33,TW-69120,391.38
2019-01-05 11:07:27,TW-69132,260.92
2019-01-05 12:39:10,TW-69107,1740
2019-01-05 10:29:04,TW-69122,222.8716
2019-01-05 10:53:05,TW-69128,288.659
2019-01-05 11:20:04,TW-69136,20.139
2019-01-05 11:20:59,TW-69137,268.52
2019-01-05 12:45:16,TW-69178,778.708
2019-01-05 12:49:27,TW-69197,1456.721
2019-01-05 12:51:42,TW-69183,1624.546
2019-01-05 12:52:06,TW-69180,194.677
2019-01-05 16:53:19,TW-69181,4000
2019-01-05 12:56:41,TW-69182,409.493
2019-01-05 11:48:40,TW-69150,302.085
2019-01-05 12:39:42,TW-69184,550.466
2019-01-05 13:06:55,TW-69188,181.251
2019-01-05 13:07:24,TW-69191,154.399
2019-01-05 17:08:50,TW-69190,3790
2019-01-05 13:11:29,TW-69192,194.677
2019-01-05 13:14:01,TW-69198,565.2346
2019-01-05 11:31:52,TW-69143,2901.3586
2019-01-05 15:36:18,TW-69144,2595
2019-01-05 17:12:54,TW-69194,2660
2019-01-05 13:16:23,TW-69196,486.26
2019-01-05 13:16:28,TW-69201,296.7146
2019-01-05 17:15:35,TW-69195,23625
2019-01-05 13:23:24,TW-69199,77.09
2019-01-05 11:32:16,TW-69142,637.735
2019-01-05 11:50:37,TW-69158,652.5036
2019-01-05 15:51:09,TW-69152,3445
2019-01-05 11:57:29,TW-69161,20.139
2019-01-05 16:49:55,TW-69179,1360
2019-01-05 13:55:58,TW-69117,220
2019-01-05 13:23:44,TW-69206,1155.9786
2019-01-05 13:29:51,TW-69203,839.125
2019-01-05 17:27:03,TW-69202,1110
2019-01-05 13:32:47,TW-69204,404.1226
2019-01-05 13:36:27,TW-69205,1208.34
2019-01-05 11:25:37,TW-69140,679.3556
2019-01-05 11:47:31,TW-69148,174.538
2019-01-05 11:49:59,TW-69151,140.973
2019-01-05 15:47:16,TW-69147,13885
2019-01-05 15:48:24,TW-69149,1145
2019-01-05 13:29:44,TW-69113,4100
2019-01-05 10:39:40,TW-69126,523.614
2019-01-05 11:54:07,TW-69156,684.726
2019-01-05 15:54:28,TW-69155,2805
2019-01-05 15:54:28,TW-69154,2090
2019-01-05 12:06:56,TW-69177,194.677
2019-01-05 16:08:35,TW-69162,2065
2019-01-05 12:10:51,TW-69166,1550.703
2019-01-05 11:26:17,TW-69104,1880
2019-01-05 12:24:56,TW-69105,2970
2019-01-05 12:53:59,TW-69108,3895
2019-01-05 14:10:47,TW-69121,8135
2019-01-05 10:32:17,TW-69129,161.112
2019-01-05 11:28:40,TW-69141,2901.3586
2019-01-05 11:41:35,TW-69145,498.1046
2019-01-05 15:51:43,TW-69153,2595
2019-01-05 12:21:53,TW-69169,557.179
2019-01-05 12:34:29,TW-69172,175.8806
2019-01-05 11:14:18,TW-69139,357.1316
2019-01-05 13:19:20,TW-69167,1696.573
2019-01-05 13:41:03,TW-69114,5620
2019-01-05 13:59:08,TW-69118,1180
2019-01-05 11:45:19,TW-69127,555.641
2019-01-05 12:38:31,TW-69174,241.668
2019-01-05 13:00:33,TW-69185,328.937
2019-01-05 13:02:40,TW-69187,13.426
2019-01-05 13:02:47,TW-69193,570.605
2019-01-05 13:06:46,TW-69189,417.5486
2019-01-05 11:43:14,TW-69146,13.426
2019-01-05 16:08:55,TW-69163,2595
2019-01-05 16:16:23,TW-69164,1940
2019-01-05 12:23:12,TW-69173,161.112
2019-01-05 12:30:16,TW-69170,543.753
2019-01-05 12:32:57,TW-69171,166.04
2019-01-05 12:43:17,TW-69176,171.97
2019-01-05 16:41:26,TW-69175,1455
2019-01-05 12:30:46,TW-69106,1000
2019-01-05 13:40:12,TW-69214,13.426
2019-01-05 20:36:33,TW-69309,17050
2019-01-05 17:48:06,TW-69357,590.744
2019-01-05 18:53:07,TW-69238,955
2019-01-05 16:44:39,TW-69276,186.202
2019-01-05 17:10:20,TW-69326,379.52
2019-01-05 19:13:26,TW-69497,195.1
2019-01-05 15:16:28,TW-69431,1262.51
2019-01-05 16:43:43,TW-69463,268.05
2019-01-05 11:48:58,TW-69318,388.45
2019-01-05 21:27:13,TW-69342,1530
2019-01-05 18:41:34,TW-69349,1924.878
2019-01-05 18:27:10,TW-69381,335.65
2019-01-05 14:18:56,TW-69404,418.73
2019-01-05 15:09:21,TW-69429,456.83
2019-01-05 16:19:43,TW-69296,444.75
2019-01-05 18:50:43,TW-69355,128.088
2019-01-05 18:39:38,TW-69386,731.717
2019-01-05 17:06:13,TW-69470,494.07
2019-01-05 17:10:10,TW-69474,137.83
2019-01-05 14:56:04,TW-69253,577.318
2019-01-05 16:06:39,TW-69288,221.529
2019-01-05 18:07:19,TW-69382,26.852
2019-01-05 15:59:32,TW-69245,555.641
2019-01-05 16:20:39,TW-69298,1224.4512
2019-01-05 11:46:17,TW-69316,390.64
2019-01-05 18:40:17,TW-69493,302.45
2019-01-05 15:47:26,TW-69236,376.555
2019-01-05 14:53:49,TW-69242,182.5936
2019-01-05 15:52:19,TW-69282,295.372
2019-01-05 13:46:28,TW-69390,298.76
2019-01-05 14:24:12,TW-69408,703.98
2019-01-05 15:52:17,TW-69445,521.29
2019-01-05 14:01:25,TW-69216,973.385
2019-01-05 17:49:46,TW-69358,114.7923
2019-01-05 16:55:27,TW-69466,135.44
2019-01-05 14:29:36,TW-69230,469.91
2019-01-05 18:07:14,TW-69325,272.187
2019-01-05 15:23:06,TW-69433,150.68
2019-01-05 19:15:54,TW-69499,189.88
2019-01-05 19:46:26,TW-69451,316.8536
2019-01-05 16:03:55,TW-69450,292.21
2019-01-05 16:41:52,TW-69462,140.66
2019-01-05 16:56:45,TW-69467,148.28
2019-01-05 15:29:28,TW-69275,785.421
2019-01-05 15:53:48,TW-69302,711.578
2019-01-05 15:41:19,TW-69439,268.05
2019-01-05 17:30:49,TW-69477,168.76
2019-01-05 18:06:24,TW-69218,1820
2019-01-05 11:36:01,TW-69308,325.32
2019-01-05 17:16:31,TW-69362,490.049
2019-01-05 21:37:48,TW-69346,1055
2019-01-05 17:49:14,TW-69479,31.35
2019-01-05 13:50:16,TW-69210,974.7276
2019-01-05 15:07:58,TW-69273,537.04
2019-01-05 16:19:52,TW-69345,537.04
2019-01-05 17:21:00,TW-69337,4296.32
2019-01-05 17:54:15,TW-69361,426.96
2019-01-05 19:15:38,TW-69419,296.7146
2019-01-05 15:45:07,TW-69441,979.88
2019-01-05 19:32:37,TW-69270,415
2019-01-05 12:58:01,TW-69363,150.68
2019-01-05 15:25:54,TW-69435,143.06
2019-01-05 15:48:30,TW-69443,231.68
2019-01-05 19:14:47,TW-69498,148.51
2019-01-05 16:55:17,TW-69323,308.798
2019-01-05 17:42:09,TW-69352,28.1946
2019-01-05 14:58:37,TW-69425,81.66
2019-01-05 17:01:18,TW-69468,296.79
2019-01-05 19:18:09,TW-69500,94.05
2019-01-05 13:52:56,TW-69213,1678.25
2019-01-05 17:43:09,TW-69356,953.246
2019-01-05 14:18:21,TW-69402,148.28
2019-01-05 21:58:38,TW-69365,7355
2019-01-05 18:08:23,TW-69372,759.9116
2019-01-05 19:17:37,TW-69377,23.72
2019-01-05 18:01:08,TW-69484,155.9
2019-01-05 13:51:38,TW-69211,1678.25
2019-01-05 18:14:20,TW-69331,241.944
2019-01-05 17:18:59,TW-69335,521.84
2019-01-05 17:12:00,TW-69475,435
2019-01-05 13:45:56,TW-69208,1678.25
2019-01-05 14:35:35,TW-69231,437.6876
2019-01-05 16:18:43,TW-69258,472.028
2019-01-05 18:30:43,TW-69383,174.538
2019-01-05 19:03:29,TW-69395,404.1226
2019-01-05 19:34:29,TW-69411,396.067
2019-01-05 17:54:59,TW-69482,500
2019-01-05 18:22:16,TW-69490,52.24
2019-01-05 19:42:37,TW-69504,609.7
2019-01-05 14:43:19,TW-69243,308.798
2019-01-05 15:56:45,TW-69293,161.112
2019-01-05 16:52:19,TW-69321,234.955
2019-01-05 18:44:00,TW-69388,1001.5796
2019-01-05 20:08:14,TW-69396,447.122
2019-01-05 14:29:42,TW-69409,273.49
2019-01-05 18:02:15,TW-69485,155.9
2019-01-05 18:27:03,TW-69492,391.51
2019-01-05 20:01:46,TW-69285,1650
2019-01-05 16:51:49,TW-69338,214.816
2019-01-05 18:22:58,TW-69491,501.04
2019-01-05 15:00:42,TW-69246,154.399
2019-01-05 15:11:05,TW-69251,241.668
2019-01-05 16:33:58,TW-69461,320.96
2019-01-05 16:48:02,TW-69465,709.88
2019-01-05 18:40:41,TW-69494,349.26
2019-01-05 13:44:03,TW-69207,584.031
2019-01-05 11:28:57,TW-69305,677.62
2019-01-05 12:41:53,TW-69350,1060.01
2019-01-05 15:13:40,TW-69430,98.42
2019-01-05 16:13:06,TW-69456,1338.74
2019-01-05 17:08:11,TW-69472,348.4
2019-01-05 18:10:29,TW-69489,1045.19
2019-01-05 14:05:31,TW-69217,1988.3906
2019-01-05 17:21:25,TW-69297,436.448
2019-01-05 18:41:14,TW-69384,303.4276
2019-01-05 14:37:40,TW-69414,857.07
2019-01-05 15:01:07,TW-69248,183.83
2019-01-05 17:58:24,TW-69364,154.399
2019-01-05 19:15:19,TW-69403,961.3016
2019-01-05 19:46:45,TW-69420,288.659
2019-01-05 16:55:26,TW-69322,308.798
2019-01-05 21:18:37,TW-69334,9660
2019-01-05 17:47:21,TW-69368,930.4218
2019-01-05 19:14:52,TW-69401,316.8536
2019-01-05 19:23:17,TW-69421,711.578
2019-01-05 20:36:43,TW-69438,243.0106
2019-01-05 15:55:12,TW-69446,978.57
2019-01-05 16:45:58,TW-69464,140.66
2019-01-05 14:09:03,TW-69397,518.04
2019-01-05 19:35:03,TW-69412,365.1872
2019-01-05 13:43:08,TW-69235,590.744
2019-01-05 14:37:26,TW-69233,8.0556
2019-01-05 17:18:56,TW-69295,23.72
2019-01-05 17:16:29,TW-69332,585.3736
2019-01-05 22:27:37,TW-69459,864.594
2019-01-05 13:00:33,TW-69369,150.68
2019-01-05 19:12:45,TW-69375,352.242
2019-01-05 17:48:31,TW-69480,358
2019-01-05 17:53:33,TW-69360,523.614
2019-01-05 13:12:09,TW-69373,680.03
2019-01-05 18:12:37,TW-69374,759.9116
2019-01-05 16:14:24,TW-69292,486.26
2019-01-05 16:23:38,TW-69300,189.76
2019-01-05 16:31:10,TW-69304,20.139
2019-01-05 17:32:20,TW-69306,843.839
2019-01-05 16:49:04,TW-69281,555.641
2019-01-05 15:16:40,TW-69436,880.78
2019-01-05 15:43:48,TW-69440,670.46
2019-01-05 18:26:41,TW-69341,178.493
2019-01-05 18:59:39,TW-69366,341.568
2019-01-05 16:12:37,TW-69455,155.9
2019-01-05 16:35:53,TW-69307,3645.159
2019-01-05 16:49:28,TW-69319,316.8536
2019-01-05 21:33:43,TW-69344,4865
2019-01-05 19:37:28,TW-69415,266.85
2019-01-05 19:01:17,TW-69496,306.38
2019-01-05 17:37:28,TW-69353,496.762
2019-01-05 14:59:58,TW-69426,407.4
2019-01-05 13:57:14,TW-69227,417.5486
2019-01-05 14:48:00,TW-69237,515.91
2019-01-05 18:55:39,TW-69400,93.982
2019-01-05 13:53:21,TW-69212,483.336
2019-01-05 15:22:38,TW-69272,174.538
2019-01-05 16:35:17,TW-69271,17.79
2019-01-05 12:13:46,TW-69330,1570.85
2019-01-05 17:23:29,TW-69339,853.92
2019-01-05 18:03:18,TW-69370,1168.062
2019-01-05 13:22:35,TW-69378,429.18
2019-01-05 18:44:42,TW-69387,988.1536
2019-01-05 18:01:27,TW-69371,516.901
2019-01-05 14:51:26,TW-69423,533.49
2019-01-05 14:50:17,TW-69290,1008.2926
2019-01-05 14:23:02,TW-69407,140.66
2019-01-05 14:53:09,TW-69424,778.03
2019-01-05 17:50:34,TW-69481,1490.28
2019-01-05 15:16:47,TW-69255,906.104
2019-01-05 15:37:52,TW-69274,174.538
2019-01-05 12:30:45,TW-69343,953.54
2019-01-05 14:43:46,TW-69417,154.82
2019-01-05 15:01:59,TW-69249,450.68
2019-01-05 15:17:43,TW-69256,213.48
2019-01-05 16:30:08,TW-69303,222.8716
2019-01-05 15:25:32,TW-69265,693.81
2019-01-05 15:31:00,TW-69268,384.264
2019-01-05 11:43:14,TW-69315,151.11
2019-01-05 17:25:55,TW-69340,4296.32
2019-01-05 13:41:41,TW-69385,300.28
2019-01-05 15:46:02,TW-69442,20.9
2019-01-05 16:07:17,TW-69452,281.32
2019-01-05 17:08:42,TW-69473,643.23
2019-01-05 18:43:42,TW-69495,349.26
2019-01-05 15:15:19,TW-69260,745.143
2019-01-05 18:17:01,TW-69333,421.623
2019-01-05 12:40:05,TW-69348,371.48
2019-01-05 11:51:22,TW-69320,368.88
2019-01-05 18:06:02,TW-69488,28.52
2019-01-05 15:38:12,TW-69232,330.301
2019-01-05 18:53:30,TW-69240,2330
2019-01-05 12:38:04,TW-69347,27.22
2019-01-05 17:04:11,TW-69469,59.88
2019-01-05 16:26:26,TW-69301,827.0416
2019-01-05 16:40:14,TW-69312,1758.806
2019-01-05 17:10:46,TW-69327,169.1676
2019-01-05 14:22:37,TW-69241,302.085
2019-01-05 15:05:56,TW-69250,474.4
2019-01-05 13:58:44,TW-69393,173.76
2019-01-05 14:06:59,TW-69222,268.52
2019-01-05 16:12:46,TW-69291,1429.13
2019-01-05 16:08:24,TW-69453,143.06
2019-01-05 15:31:22,TW-69269,177.9
2019-01-05 11:40:24,TW-69310,158.73
2019-01-05 15:24:54,TW-69434,114.32
2019-01-05 18:04:34,TW-69486,892.35
2019-01-05 19:57:43,TW-69283,32720
2019-01-05 18:57:59,TW-69392,537.04
2019-01-05 15:01:47,TW-69257,302.085
2019-01-05 16:23:36,TW-69458,457.28
2019-01-05 14:22:02,TW-69226,48.3336
2019-01-05 15:11:13,TW-69252,510.188
2019-01-05 17:10:50,TW-69328,162.4546
2019-01-05 21:42:40,TW-69351,1820
2019-01-05 16:29:50,TW-69460,1049.99
2019-01-05 14:14:02,TW-69224,510.188
2019-01-05 16:04:45,TW-69287,357.1316
2019-01-05 17:47:44,TW-69317,416.286
2019-01-05 17:39:26,TW-69354,511.5306
2019-01-05 18:48:02,TW-69391,946.533
2019-01-05 14:36:29,TW-69413,158.74
2019-01-05 15:09:16,TW-69428,683.28
2019-01-05 15:29:45,TW-69437,402.4
2019-01-05 15:59:36,TW-69284,349.076
2019-01-05 14:41:36,TW-69244,906.255
2019-01-05 14:46:19,TW-69234,296.5
2019-01-05 15:21:26,TW-69261,13.426
2019-01-05 15:23:06,TW-69263,367.66
2019-01-05 15:28:19,TW-69267,825.699
2019-01-05 15:42:39,TW-69279,154.399
2019-01-05 16:21:28,TW-69299,416.206
2019-01-05 14:21:29,TW-69406,148.28
2019-01-05 18:00:40,TW-69483,155.9
2019-01-05 18:03:51,TW-69487,65
2019-01-05 18:41:54,TW-69422,409.493
2019-01-05 14:39:41,TW-69416,282.42
