"Custom Stock Status","Custom Stock Status"
"General","General"
"Display Custom Stock Status for `Out of Stock` Items Only","Display Custom Stock Status for `Out of Stock` Items Only"
"If set to `No`, custom stock status will be visible both for `in stock` and `out of stock` items.","If set to `No`, custom stock status will be visible both for `in stock` and `out of stock` items."
"Display Custom Stock Status in Shopping Cart","Display Custom Stock Status in Shopping Cart"
"Will display custom stock status for items in shopping cart.","Will display custom stock status for items in shopping cart."
"Use Quantity Ranges Based Statuses Only","Use Quantity Ranges Based Statuses Only"
"If set to `No`, custom stock status set for product will show up if no range status found for particular product.","If set to `No`, custom stock status set for product will show up if no range status found for particular product."
"Display Icon Only (No Status Text)","Display Icon Only (No Status Text)"
"Display only icon and no custom status text on the product view and product list pages.","Display only icon and no custom status text on the product view and product list pages."
"Enable `Back In Stock` Alert for Out of Stock Configurable Items","Enable `Back In Stock` Alert for Out of Stock Configurable Items"
"Show Out of Stock Configurable Attributes","Show Out of Stock Configurable Attributes"
"If set to `Yes`, out of stock configurations will be displayed in the drop-downs of configurable products with no possibility to purchase.","If set to `Yes`, out of stock configurations will be displayed in the drop-downs of configurable products with no possibility to purchase."
"Status Icon Title Text","Status Icon Title Text"
"The text that will appear on mouse over a status icon image.","The text that will appear on mouse over a status icon image."
"Show Status Icon Title Text for Logged in Customers Only","Show Status Icon Title Text for Logged in Customers Only"
"Availability:","Availability:"
"In (S|s)tock","In (S|s)tock"
"Out of (S|s)tock","Out of (S|s)tock"
"Sign up to get notified when this configuration is back in stock","Sign up to get notified when this configuration is back in stock"
"Manage Icons","Manage Icons"
"Quantity Range Statuses","Quantity Range Statuses"
"{qty} left in stock.","{qty} left in stock."
"Change Default Configurable Product Status","Change Default Configurable Product Status"